Basin.Name,Country,Ecoregion,Med_Longit,Med_Latit,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD,Similarity_Centroid
Alara,Turkey,Palearctic,32.05901062,36.7908544,1090.129654,10.97956411,727.6379945,4.777015924,99.52458725,7,0.34,0.529411765,0.74106977
Alas,Indonesia,Indo-Malay,98.00823653,2.948953807,11892.35204,21.92095294,37.90369409,2.490724474,99.94249714,57,0.34,0.529411765,0.61255259
Albegna,Italy,Palearctic,11.41082717,42.61148416,737.1617341,14.12588188,622.1403031,9.656529903,99.30139872,5,0.38,0.5,0.939590203
Albert.lake,United States,Nearctic,-120.4260678,42.58614378,2323.223207,7.179666621,701.754033,0.170313228,99.43470483,2,0.36,0.25,0.800065692
Alemeda.creek,United States,Nearctic,-121.7645983,37.56856697,1898.537136,14.77946928,530.4127721,124.9055939,85.33552566,19,0.67,0.179104478,0.927361869
Alfios,Greece,Palearctic,21.95637658,37.66021742,3437.187744,13.09894719,634.8301349,5.587246299,95.70972002,9,0.33,0.424242424,0.771067987
Aliakmon,Greece,Palearctic,21.53765139,40.26802572,6614.686281,11.21595293,716.8269964,8.308555245,93.36134278,38,0.26,0.5,0.909435934
Alsea,United States,Nearctic,-123.7375202,44.37530115,1164.405711,10.00229628,427.2678433,16.03758836,99.96382161,15,0.4,0.85,0.803068089
Alsek,Canada,Nearctic,-137.5950445,60.3245637,28645.90831,-3.15992872,918.6458389,0.010745534,99.99825427,26,0.59,0.966101695,0.82297328
Altaelva,Norway,Palearctic,23.18330526,69.24965182,7378.98011,-2.29559796,926.263501,0.159988791,97.44165968,7,0.45,0.777777778,0.70342475
Altamaha,United States,Nearctic,-83.18008768,32.78055863,37484.57995,17.66189894,705.0121641,19.60135007,95.99329488,96,0.21,0.619047619,0.803647901
Amahlongwa,South Africa,Afrotropic,30.71384295,-30.22048361,104.647937,20.239781,261.3787113,4.65536809,99.88069411,6,0.69,0.072463768,0.664616302
Amazon,Brazil,Neotropic,-64.57285505,-6.714857006,5888416.916,24.69524502,66.37258702,0.238243382,99.90543136,2136,0.47,0.872340426,0.787938641
Amba,India,Indo-Malay,73.17393307,18.62922476,900.28717,26.70105195,198.9007577,15.07934308,97.97617257,49,0.68,0.514705882,0.798134772
Ambalam.Oya,Sri Lanka,Indo-Malay,81.74688953,7.174820563,159.0406773,27.66822914,125.8374856,3.374859393,99.41182155,28,0.45,0.622222222,0.73045835
Ameca,Mexico,Neotropic,-104.5008285,20.69148683,12281.46078,19.80078357,238.8376717,8.720870137,97.86230376,38,0.61,0.721311475,0.901831395
Amu.Darya,Uzbekistan,Palearctic,65.91790268,39.74440722,624690.054,9.208815267,1067.128879,0.527910873,98.70253948,49,0.43,0.860465116,0.930077579
Amur,China,Palearctic,126.1503364,49.49515104,2011733.254,-1.053357109,1562.025663,0.760108694,99.4062136,141,0.52,0.884615385,0.870073673
An.Lao,Vietnam,Indo-Malay,108.8943954,14.45333145,1388.855717,24.90643078,246.2904985,0.948202819,99.75100537,42,0.29,0.75862069,0.643665325
Anadyr,Russia,Palearctic,171.4601481,65.50433861,175195.0926,-10.43778229,1544.156567,0.009021572,99.99839938,27,0.72,0.680555556,0.773437592
Anasco,Puerto Rico,Neotropic,-66.95237622,18.22632014,469.1630528,23.28364997,132.1239028,22.74415016,96.21414197,39,0.45,0.222222222,0.802877153
Ancharakandi,India,Indo-Malay,75.6038021,11.86406387,369.8943832,26.66954981,139.3016272,8.649629474,99.75409354,28,0.56,0.767857143,0.555889612
Andalien,Chile,Neotropic,-72.81967683,-36.82492457,767.4691481,12.2272175,328.5029839,4.66740042,99.67748291,15,0.39,0.717948718,0.7140907
Andella.Oya,Sri Lanka,Indo-Malay,81.6082882,7.428638247,537.057988,27.4797196,137.8680101,3.374859512,87.38880252,30,0.52,0.557692308,0.727188829
Angermanalven,Sweden,Palearctic,15.85563933,64.33996651,31493.16449,0.77674945,843.7768566,0.299522631,94.64905711,19,0.28,0.714285714,0.825478917
Annan.UK,United Kingdom,Palearctic,-3.407012904,55.2222027,963.2144464,7.818772405,415.7844936,33.11868,99.87387158,17,0.23,0.608695652,0.920846465
Ansan,South Korea,Palearctic,126.8472034,37.33405118,50.99229823,11.61672217,1028.357083,121.1980896,94.59873779,15,0.4,0.625,0.732243143
Anseongcheon,South Korea,Palearctic,127.1428566,37.08417976,1449.679603,11.37099557,1031.672811,132.7092648,90.95686131,79,0.29,0.862068966,0.87427508
Ansons,Australia,Australasia,148.1705504,-41.10881383,259.6754538,12.51330372,315.2157108,0.100287441,99.9450658,13,0.29,0.344827586,0.706629552
Antelope.Wash,United States,Nearctic,-116.3788289,39.40082088,8018.241536,7.303308119,807.1602011,0.099973505,99.80695105,1,0.52,0.192307692,0.74141482
Anzali,Iran,Palearctic,49.2904526,37.25954584,3934.496682,13.05151522,736.7561989,10.87926126,98.94632365,34,0.29,0.724137931,0.967089802
Aojiang,China,Indo-Malay,120.3204611,27.56728568,1290.608328,17.01200736,725.3964077,13.19328511,93.97740593,52,0.27,0.814814815,0.804913326
Aorere,New Zealand,Australasia,172.5191801,-40.85973448,712.6144924,9.863699204,352.0219638,0.15868124,99.95740309,13,0.24,0.583333333,0.718466427
Apalachicola,United States,Nearctic,-84.66505902,32.19953313,50882.64753,17.73031466,691.512386,24.96456099,95.10971022,124,0.24,0.583333333,0.787639366
Aparima,New Zealand,Australasia,168.0430902,-45.95360319,1549.846218,9.488951655,340.6024829,0.488775603,99.80933116,15,0.18,0.444444444,0.659448185
Apodi,Brazil,Neotropic,-37.71152535,-5.746395104,14260.42156,26.5887476,92.03040019,1.446427137,91.52231434,13,0.88,0.045454545,0.58206181
Appomattox,United States,Nearctic,-78.05951287,37.30746841,4169.189571,13.88023395,822.1281266,22.00998735,92.88274015,57,0.19,0.631578947,0.874390511
Arachthos,Greece,Palearctic,21.03133661,39.5590803,2473.939349,11.46541957,661.1095766,4.651239395,93.42438097,11,0.36,0.861111111,0.902782195
Arade,Portugal,Palearctic,-8.348600353,37.30897068,970.6277015,16.27125678,443.6330968,5.604627967,92.91539844,11,0.49,0.285714286,0.814323561
Arahura,New Zealand,Australasia,171.2558561,-42.81410752,228.0550716,8.831377321,367.7700368,0.44798483,99.91030051,16,0.21,0.571428571,0.676351518
Arakawa,Japan,Palearctic,139.4122165,35.91972145,3860.935376,13.6161705,807.7678221,638.9611969,94.05585433,14,0.28,0.678571429,0.880874254
Aransas,United States,Nearctic,-97.59187096,28.17330245,2290.912074,21.71521952,603.153246,4.738659441,99.49517345,17,0.29,0.206896552,0.739302761
Arawhata,New Zealand,Australasia,168.5947824,-44.27603284,916.0032136,7.337968583,393.8574914,0.122389173,99.99180951,11,0.34,0.705882353,0.663818301
Argens,France,Palearctic,6.262044897,43.48240768,2762.569029,13.42656509,575.3090427,23.83864546,99.60673523,25,0.4,0.3,0.885969067
Armeria,Mexico,Neotropic,-104.0338336,19.80608593,9703.71101,20.04876691,206.8060445,8.488815904,91.89733487,29,0.59,0.762711864,0.764816026
Arno,Italy,Palearctic,11.3152601,43.62439776,8895.330841,13.20279936,649.4304443,44.41795731,96.60455608,14,0.23,0.782608696,0.906176497
Aroa,Venezuela,Neotropic,-68.75186402,10.55250045,2453.034502,24.61729561,56.41936586,10.32386732,99.82933631,35,0.27,0.592592593,0.797621231
Aropaoanui,New Zealand,Australasia,176.8622708,-39.20475738,165.669706,12.29646921,367.2084072,2.637976587,99.88185603,11,0.32,0.34375,0.705797494
Arques,France,Palearctic,1.346059276,49.76432287,1022.425972,10.03380889,487.09678,29.14813471,99.60439693,15,0.18,0.722222222,0.781898894
Arroio.Diluvio,Brazil,Neotropic,-51.16722661,-30.06754843,93.73432669,19.65268813,357.8837608,19.68976259,95.94108203,48,0.22,0.454545455,0.632223363
Arroyo.Martin,Argentina,Neotropic,-58.05651586,-34.89336249,409.6516363,16.50500866,486.5085571,167.6836128,97.05624941,37,0.26,0.269230769,0.594325075
Arthur,Australia,Australasia,145.2481047,-41.23951537,2475.015607,10.50867347,284.2129718,0.623258844,99.97864028,11,0.34,0.735294118,0.729234823
Aruvi.Aru,Sri Lanka,Indo-Malay,80.4362461,8.481096564,3331.355234,27.3861171,149.1166403,3.207060456,90.01543278,39,0.65,0.353846154,0.730985028
Ashburton.NZ,New Zealand,Australasia,171.4058652,-43.61426316,1747.534094,8.576661303,428.0830458,0.634330422,99.79013587,14,0.23,0.652173913,0.68297133
Ashley.NZ,New Zealand,Australasia,172.3077454,-43.14313342,1212.45777,9.453324246,401.2478241,8.489143848,99.85157657,12,0.26,0.461538462,0.666407859
Ashley.USA,United States,Nearctic,-80.19436949,33.01799337,1035.427682,18.04801822,681.2451428,12.13266253,99.58982455,47,0.24,0.375,0.80769288
Asi,Syria,Palearctic,36.95269035,36.15909322,57202.86453,15.53449405,818.8979062,7.055141687,96.35122875,44,0.48,0.666666667,0.761650128
Asinaro,Italy,Palearctic,15.07723162,36.91620187,163.8305121,16.98554457,555.503509,1.987023771,95.45915288,4,0.55,0.163636364,0.661267816
Athi,Kenya,Afrotropic,37.6816873,-2.386095253,46728.18007,21.36084929,140.2798145,1.710023433,99.37237259,103,0.29,0.75862069,0.733183898
Atrak,Iran,Palearctic,56.38092442,37.78748623,36483.5623,14.23400138,891.2682185,1.737767637,99.08516666,31,0.42,0.595238095,0.964142993
Atran,Sweden,Palearctic,13.16641614,57.44029504,3265.170338,6.055452454,662.90924,7.665832162,99.87522664,17,0.21,0.428571429,0.810966257
Attanagalu.Oya,Sri Lanka,Indo-Malay,80.02309368,7.137230797,804.6170071,27.18245248,68.18488862,9.351331234,99.24509806,50,0.36,0.694444444,0.710180986
Aucilla,United States,Nearctic,-83.74356726,30.50749892,2503.333471,19.47353084,615.5375115,5.493095279,99.90476459,56,0.19,0.578947368,0.752936652
Aude,France,Palearctic,2.404949218,43.13105414,5283.136409,12.20938417,578.3109497,12.21346927,97.89383942,29,0.22,0.636363636,0.865395665
Aulne,France,Palearctic,-3.741562182,48.29757499,1794.627235,10.87993807,409.539247,8.414038539,98.81093021,15,0.26,0.653846154,0.850271706
Authie,France,Palearctic,2.132222588,50.23366436,1107.057949,10.0531193,509.1141523,25.07830811,99.79486254,11,0.17,0.823529412,0.902039527
Ave,Portugal,Palearctic,-8.355216568,41.45652139,1382.884256,13.6826564,424.329095,44.71483231,96.63719924,6,0.27,0.703703704,0.896392362
Avoca,Australia,Australasia,143.4730977,-36.48306792,4336.800882,14.68698947,489.6088628,0.970856398,99.50200817,4,0.75,0.066666667,0.596100238
Avon.Aus,Australia,Australasia,147.1277772,-37.82783761,2465.352492,13.4360247,398.8233438,0.914963424,99.3561723,11,0.23,0.47826087,0.760558222
Avon.Eng,United Kingdom,Palearctic,-2.292963737,51.410833,2248.206198,9.811304686,451.359728,58.53077221,98.36714658,20,0.2,0.65,0.948996925
Avon.Moors,United Kingdom,Palearctic,-2.004726552,51.03345258,2986.359363,9.787211642,445.1259067,38.65943623,99.73928845,21,0.2,0.7,0.896518998
Avon.NZ,New Zealand,Australasia,172.6256552,-43.50358116,118.7615095,12.21297041,394.8140546,9.174983263,95.89910112,12,0.23,0.391304348,0.713936
Awakino,New Zealand,Australasia,174.7701783,-38.55456106,371.2975484,12.54202079,338.5545738,0.11698165,99.88099864,10,0.28,0.678571429,0.68419961
Awanui,New Zealand,Australasia,173.3155542,-35.12284005,416.4868495,15.22452765,284.3965464,0.807132587,99.74375923,11,0.31,0.64516129,0.746955406
Awaroa,New Zealand,Australasia,174.9653314,-38.16446927,110.79975,12.6408384,338.3185434,0.327097759,99.88948478,1,0.33,0.636363636,0.747820489
Awarua,New Zealand,Australasia,168.1551412,-44.53172578,1120.420877,7.539745021,382.0578088,0.121260788,99.99177867,6,0.3,0.566666667,0.666562079
Awatere,New Zealand,Australasia,173.626751,-41.89627033,1601.202515,8.77180628,426.6725901,1.975266427,99.92926721,11,0.28,0.285714286,0.671493892
Awe,United Kingdom,Palearctic,-5.072518504,56.36213985,913.7379165,7.592718157,392.4808515,1.094499975,97.3787721,9,0.26,0.576923077,0.776920953
Axios,Macedonia,Palearctic,21.81997713,41.59972692,24583.23488,10.27998627,770.2694808,6.46531713,95.74549145,45,0.23,0.695652174,0.904500476
Azuri,Japan,Palearctic,136.7816365,34.26813213,10.81392754,15.78560586,742.8795499,62.14790249,NA,4,NA,NA,0.615121504
Ba,Vietnam,Indo-Malay,108.5803492,13.45982212,13326.83038,23.9870908,191.5446467,1.131172284,99.10089675,51,0.33,0.787878788,0.648556782
Babol,Iran,Palearctic,52.59932507,36.3376973,2163.299555,15.79367152,784.102619,9.24761498,97.68160876,46,0.31,0.677419355,0.928185918
Baffle.creek,Australia,Australasia,151.6986902,-24.47136349,2527.05689,21.16040184,370.7825629,0.422844879,99.83377124,13,0.68,0.102941176,0.628911627
Bago.Negros,Philippines,Indo-Malay,123.1250479,10.52660759,928.4956523,25.21729428,80.29303413,7.34274435,99.86808403,25,0.26,0.653846154,0.651862328
Bagura.Oya,Sri Lanka,Indo-Malay,81.69951127,6.626029486,140.5145258,27.25121623,108.4914304,2.139389724,99.83400719,28,0.61,0.295081967,0.73045835
Bakensrivier,South Africa,Afrotropic,25.52371431,-33.98053179,377.2269036,17.54724395,272.214546,6.505049706,96.34345897,33,0.39,0.153846154,0.78802088
Bakir.Cayi,Turkey,Palearctic,27.42222,39.17260777,3361.979284,14.60582738,718.6631847,13.07578611,94.3517928,30,0.56,0.303571429,0.768500883
Balcombe.creek,Australia,Australasia,144.9764102,-38.31393563,324.6551815,14.02596153,340.2206807,10.83856416,77.06354036,14,0.23,0.391304348,0.617950871
Balkhash,Kazakhstan,Palearctic,77.64982457,45.59217856,414971.545,5.040702279,1271.958815,0.467283852,99.03579305,15,0.55,0.909090909,0.931864187
Balsas,Mexico,Neotropic,-100.0526007,18.57071747,111158.4926,21.63051738,165.0065424,14.19829011,96.89881397,56,0.54,0.777777778,0.809025776
Bambawe.Oya,Sri Lanka,Indo-Malay,81.37082592,6.294713777,122.3798554,27.35504869,83.29048814,2.139389753,99.62217219,28,0.59,0.288135593,0.73045835
Bandama,Côte d'Ivoire,Afrotropic,-5.426876525,7.975142797,98897.32414,26.3516,126.843481,0.940306216,97.28627519,117,0.42,0.714285714,0.661411551
Bangpakong,Thailand,Indo-Malay,101.5072876,13.82263391,21925.68694,27.2524235,139.892276,23.83903432,99.11741267,89,0.55,0.854545455,0.663850889
Bann,United Kingdom,Palearctic,-6.545877911,54.62346553,5747.101892,9.04468462,397.2964062,12.47027421,99.79993473,10,0.26,0.615384615,0.887721284
Baram,Malaysia,Indo-Malay,114.7607662,3.542353411,22408.94065,24.80896334,33.63752899,2.015143842,99.99857827,90,0.31,0.387096774,0.585987786
Barham,Australia,Australasia,143.6399464,-38.73269277,273.2310976,12.70178267,278.1296608,1.046649039,99.93293168,10,0.33,0.545454545,0.654708559
Barron,Australia,Australasia,145.5286086,-17.02857952,2183.491521,21.77199925,270.7520836,2.288296908,92.21554123,63,0.51,0.352941176,0.763268662
Barrow,Ireland,Palearctic,-7.390375475,52.70253012,9077.339609,9.507004812,387.1104422,8.654777288,99.67650255,14,0.25,0.52,0.932610468
Bartin,Turkey,Palearctic,32.71110146,41.56951328,2940.760412,10.45554037,700.1872028,4.313924074,99.86456627,37,0.26,0.653846154,0.896862347
Barwon,Australia,Australasia,143.9567372,-38.02701563,5052.182845,13.30426103,377.8977571,9.581586957,94.39211345,19,0.33,0.333333333,0.757798664
Basento,Italy,Palearctic,16.14751797,40.53170468,1564.731072,12.88102453,622.4186412,11.92570353,92.024816,5,0.42,0.214285714,0.916586845
Basgoz.Cayi,Turkey,Palearctic,30.27686861,36.58964844,765.8047129,12.30742327,732.2201864,3.430919468,91.07339663,25,0.3,0.766666667,0.772459755
Batang.Kerang,Malaysia,Indo-Malay,110.6662051,1.115319927,2981.02429,26.38797499,43.4072082,4.629830897,99.95727301,41,0.32,0.59375,0.907260799
Bay.View,New Zealand,Australasia,176.8439251,-39.46633294,136.9067817,13.87747464,368.5811004,2.637983263,99.06286026,7,0.39,0.256410256,0.792361073
Bear.lake,United States,Nearctic,-112.3759959,40.19924748,1864.355229,8.661583538,910.1993717,4.803068757,99.95621689,9,0.56,0.25,0.919849234
Bear.river,United States,Nearctic,-112.6051292,40.30232823,122517.791,7.92040139,905.7382918,4.530075252,95.67787673,19,0.35,0.628571429,0.938055166
Beauly,United Kingdom,Palearctic,-4.904195739,57.35735093,1015.7814,6.390947355,402.5409853,1.454267323,86.13039619,9,0.3,0.333333333,0.776920953
Bedjestan,Iran,Palearctic,58.33717419,34.5912855,33455.32812,17.3136096,938.7794143,1.077495947,98.12524344,3,0.64,0.3125,0.580782973
Bedti,India,Indo-Malay,74.83052939,14.92981806,3870.254743,24.58509047,169.1346522,4.32301861,96.78898073,42,0.61,0.590163934,0.553909835
Bega.1,Australia,Australasia,140.1106443,-36.80199301,863.7986676,15.04011868,366.1558058,0.303747624,99.4959776,14,0.53,0.245283019,0.756270474
Bega.2,Australia,Australasia,149.6650366,-36.6322264,1961.150283,13.60372145,394.7255688,1.059564844,96.06681255,23,0.5,0.1,0.554801932
Beilun.He,China,Indo-Malay,107.7665377,21.6887266,842.0695297,21.18228576,502.5230982,1.281978115,99.84222249,51,0.3,0.866666667,0.773680047
Beimenjiang,China,Indo-Malay,109.470544,19.58956894,674.0384022,24.1792874,392.251378,2.968976885,99.84932389,46,0.43,0.697674419,0.660945366
Bejucal,Trinidad and Tobago,Neotropic,-61.35658482,10.50840774,188.3468849,26.44445689,58.90252834,17.19340992,99.03506179,21,0.35,0.685714286,0.772085
Bellinger,Australia,Australasia,152.7307023,-30.45523075,1140.833106,16.98131255,386.8415674,2.195263594,99.95395788,23,0.25,0.48,0.614774865
Ben.Hai,Vietnam,Indo-Malay,106.9263532,16.9730048,897.9265908,24.91998555,339.1805037,0.729009241,94.32637215,53,0.32,0.84375,0.671434677
Benevente,Brazil,Neotropic,-40.7606472,-20.60872706,1121.512895,21.11933654,206.9836129,15.50561762,99.88907071,41,0.35,0.6,0.778544934
Bensbach,Papua New Guinea,Australasia,141.0131325,-8.633760263,3328.828234,26.98072071,98.54384755,0.128627472,99.99500212,52,0.37,0.783783784,0.78010268
Bentota.Ganga,Sri Lanka,Indo-Malay,80.15298081,6.396837797,669.7938427,26.67005995,54.36652986,15.489259,99.47656896,48,0.32,0.625,0.722913558
Berg,South Africa,Afrotropic,18.70869554,-33.19164639,8093.084179,17.54478972,393.7861231,15.14272666,95.57435643,6,0.29,0.724137931,0.722438623
Bernam,Malaysia,Indo-Malay,101.3108792,3.799863568,2588.978549,26.07356433,38.65035459,57.75836372,99.94416438,84,0.3,0.433333333,0.928777885
Betsiboka,Madagascar,Afrotropic,47.11688109,-17.6136668,58338.81004,22.58641099,191.5760122,0.569944367,99.58610033,14,0.6,0.566666667,0.786526809
Beysehir,Turkey,Palearctic,32.24513629,37.68116545,16030.41944,10.26627094,777.8508187,5.818196654,96.79751845,17,0.47,0.531914894,0.702460149
Bharathapuzha,India,Indo-Malay,76.63071767,10.73738564,6160.768842,26.29502545,147.3066982,15.27151823,95.58029851,92,0.48,0.895833333,0.653831201
Bia,Ghana,Afrotropic,-2.988412175,6.33128118,10113.72814,26.35458357,111.3117111,1.62389487,97.94051218,67,0.24,0.5,0.639267316
Biferno,Italy,Palearctic,14.67209368,41.67008819,1325.988088,13.058408,642.822905,21.40438747,90.54575165,7,0.36,0.611111111,0.841262931
Big.Sur,United States,Nearctic,-121.7071426,36.25111134,155.3923681,12.17190313,350.7983576,25.1642704,99.24597552,5,0.49,0.265306122,0.864063168
Biga,Turkey,Palearctic,27.07872692,40.09163237,2130.294099,13.4983593,677.4990111,5.147256017,95.61342935,42,0.53,0.358490566,0.952766229
Biliu.He,China,Palearctic,122.5642891,39.97974355,2777.135045,8.615605495,1151.587055,6.97235781,92.50180965,44,0.42,0.738095238,0.664089604
Biobio,Chile,Neotropic,-71.95763332,-37.73809655,24265.07833,9.904676945,420.802964,1.674965352,98.95194793,17,0.32,0.875,0.772635318
Biwa,Japan,Palearctic,135.9466465,35.02487826,8319.031815,13.62174389,837.8820849,209.4776268,93.44084368,51,0.2,0.6,0.801807017
Black,Australia,Australasia,145.3379566,-40.98352873,336.2745305,11.66135478,278.3510131,0.436375931,99.92411516,7,0.36,0.75,0.733147988
Blackstone,United States,Nearctic,-71.59846979,42.04064203,1662.036929,9.082974717,925.2714667,134.0997257,96.42292734,20,0.23,0.47826087,0.828421202
Blackwater,Ireland,Palearctic,-8.5015716,52.15976344,3242.792456,9.461205452,368.2887559,7.39533186,99.87056751,17,0.26,0.538461538,0.908538234
Blackwater.USA,United States,Nearctic,-86.9034626,30.85915525,2167.443876,18.87451347,649.0702415,8.436119676,99.57427833,70,0.2,0.55,0.779481434
Blackwood,Australia,Australasia,117.0387181,-33.57262217,22026.53714,15.94543862,437.6409344,0.486858159,99.77306992,15,0.64,0.21875,0.789996019
Blanche,Martinique,Neotropic,-61.01218944,14.66477743,133.2533075,25.46515621,92.99115167,NA,99.64768467,11,0.49,0.306122449,0.6256494
Blanche.Bay,Australia,Australasia,140.712399,-37.9478503,276.2987552,14.03444921,315.126816,0.922144294,99.6345117,5,0.31,0.387096774,0.745287215
Blavet,France,Palearctic,-3.075166666,48.08678418,2060.103342,11.14880469,417.8925583,9.009625077,95.23160896,20,0.23,0.652173913,0.930935507
Blythe,Australia,Australasia,145.9055474,-41.26586845,273.8418935,10.23676526,304.0517372,0.812918931,99.96983746,6,0.33,0.818181818,0.754094322
Bo.Langvlei,South Africa,Afrotropic,22.62793061,-33.92548803,168.69583,16.10734466,275.5211027,1.505803943,98.92923092,5,0.44,0.113636364,0.81712428
Bodigoda.Aru,Sri Lanka,Indo-Malay,81.31666755,8.048170605,153.5051063,27.87475225,161.7138686,1.313983679,99.82311612,28,0.62,0.338709677,0.73045835
Boesmansrivier,South Africa,Afrotropic,26.12604189,-33.36198918,2741.755713,17.33006257,303.5455304,3.466260731,96.22258501,38,0.82,0.036585366,0.761678399
Boghen,New Caledonia,Australasia,165.5730235,-21.53491928,555.8238417,21.86223099,243.8022442,2.691174746,99.94573338,20,0.5,0.18,0.540584081
Bolaman,Turkey,Palearctic,37.46468651,40.73287305,1232.751216,9.354798191,647.3238794,3.399262071,99.81664462,35,0.31,0.64516129,0.771254133
Bolgoda.lake,Sri Lanka,Indo-Malay,79.96055251,6.795289541,236.7298963,27.25603188,57.39574949,7.560223818,98.97528976,43,0.36,0.694444444,0.72909013
Bollin,United Kingdom,Palearctic,-2.289593099,53.46927645,2390.648804,9.100112687,450.3831936,141.1557159,93.38911644,19,0.21,0.571428571,0.938087974
Bonaventure,Canada,Nearctic,-65.465353,48.47290313,2387.912093,1.878091526,1054.578559,0.393050253,99.99943543,9,0.48,0.6875,0.731217553
Bosten,China,Palearctic,88.91047341,41.24791131,5709.409892,8.372193645,1224.26005,0.086578717,99.99008481,14,0.96,0.020833333,0.925860505
Bou.Regreg,Morocco,Palearctic,-6.330367178,33.3788032,9578.700268,16.40455362,549.7354623,3.62494415,97.98943895,6,0.31,0.548387097,0.770485551
Boyne.Irland,Ireland,Palearctic,-6.903459235,53.60715418,2791.452915,9.256692383,386.4100754,33.6712079,99.7779894,14,0.23,0.565217391,0.914621577
Bradano,Italy,Palearctic,16.34265185,40.73994854,3075.245969,14.24126959,622.2590409,11.55577064,90.55634129,5,0.5,0.28,0.896691866
Bradys.creek,Australia,Australasia,147.9190199,-42.46590532,234.4631899,11.9798908,311.5902993,3.820287943,91.71062948,2,0.33,0.181818182,0.825289069
Bramonas,Mexico,Nearctic,-111.3818125,25.14858293,3622.079343,22.14928918,463.1892077,0.567134537,99.92791215,3,0.93,0.032258065,0.597735505
Brazos,United States,Nearctic,-98.94381554,32.2823967,109420.6689,17.69556854,788.9841885,13.64339519,91.4372378,101,0.19,0.526315789,0.787590625
Breede,South Africa,Afrotropic,19.90283614,-33.8753333,12516.13054,16.29874732,402.1145827,1.94218421,89.37416075,25,0.34,0.647058824,0.83157275
Brenta,Italy,Palearctic,11.65344614,45.74108151,4685.578562,10.21450757,728.7162654,61.65602493,97.62178643,26,0.27,0.740740741,0.847186342
Bresle,France,Palearctic,1.663835306,49.87543539,757.1988982,9.850100899,500.4991253,25.82632732,99.77708906,15,0.18,0.722222222,0.756871802
Brisbane,Australia,Australasia,152.4048961,-27.3087425,13679.12862,18.82987978,422.3780126,11.62812543,92.42348643,47,0.36,0.138888889,0.746177742
Brisbane.Water,Australia,Australasia,151.3435134,-33.46528768,312.9907951,17.33257576,374.8733323,72.20037842,98.25160734,3,0.26,0.307692308,0.585179318
Broadwater.creek,Australia,Australasia,151.9255775,-24.3729564,292.2620252,21.72616802,354.6758835,0.483147211,99.92916513,5,0.64,0.09375,0.671997921
Browns,Australia,Australasia,147.2976391,-42.97351855,106.7459445,11.14914059,306.4598568,3.143817067,99.66852152,11,0.37,0.216216216,0.687810997
