Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Aksu,Native,0.116750366,0.282784677,0.600464957,Turkey,Palearctic,30.8507144,37.78976701,7738.137846,11.75944628,759.3909966,3.885437667,94.86416568,36,0.34,0.558823529
Aksu,Non-native,0.188223536,0.240392439,0.571384025,Turkey,Palearctic,30.8507144,37.78976701,7738.137846,11.75944628,759.3909966,3.885437667,94.86416568,36,0.34,0.558823529
Aksu.North,Native,0.103983223,0.221172864,0.674843913,Turkey,Palearctic,38.38597013,40.64078625,900.7624843,8.060288264,705.3529467,2.40201658,99.87743341,34,0.39,0.846153846
Aksu.North,Non-native,0.319032376,0.225074707,0.455892916,Turkey,Palearctic,38.38597013,40.64078625,900.7624843,8.060288264,705.3529467,2.40201658,99.87743341,34,0.39,0.846153846
Alabama,Native,0.207602808,0.364399546,0.427997646,United States,Nearctic,-86.9483201,33.21408079,111854.611,16.61429588,743.4736011,12.26869059,96.64959766,221,0.17,0.882352941
Alabama,Non-native,0.193670987,0.145681326,0.660647687,United States,Nearctic,-86.9483201,33.21408079,111854.611,16.61429588,743.4736011,12.26869059,96.64959766,221,0.17,0.882352941
Alafia,Native,0.227406354,0.35271072,0.419882925,United States,Nearctic,-82.10645604,27.86256228,1128.481426,22.40795426,453.4382295,52.89338207,78.55952977,44,0.22,0.727272727
Alafia,Non-native,0.441970515,0.217552773,0.340476712,United States,Nearctic,-82.10645604,27.86256228,1128.481426,22.40795426,453.4382295,52.89338207,78.55952977,44,0.22,0.727272727
Alagnak,Native,0.345764298,0.072096049,0.582139653,United States,Nearctic,-156.7674724,58.8704521,426.2997636,1.55749563,863.3145016,0.088223638,100,17,0.21,0.523809524
Alara,Native,0.09110477,0.190454703,0.718440527,Turkey,Palearctic,32.05901062,36.7908544,1090.129654,10.97956411,727.6379945,4.777015924,99.52458725,7,0.34,0.529411765
Alara,Non-native,0.319032376,0.225074707,0.455892916,Turkey,Palearctic,32.05901062,36.7908544,1090.129654,10.97956411,727.6379945,4.777015924,99.52458725,7,0.34,0.529411765
Alas,Native,0.117794298,0.370657456,0.511548246,Indonesia,Indo-Malay,98.00823653,2.948953807,11892.35204,21.92095294,37.90369409,2.490724474,99.94249714,57,0.34,0.529411765
Alas,Non-native,0.633890166,0.129043328,0.237066506,Indonesia,Indo-Malay,98.00823653,2.948953807,11892.35204,21.92095294,37.90369409,2.490724474,99.94249714,57,0.34,0.529411765
Alaska.un.1,Native,0.300850942,0.096104803,0.603044255,United States,Nearctic,-157.5199218,56.76912542,9.797696323,2.873464936,598.2965024,0.002181877,100,6,0.36,0.694444444
Alaska.un.2,Native,0.321139309,0.192209605,0.486651085,United States,Nearctic,-157.4493221,56.80175437,10.39097561,3.101602573,602.7309195,0.002181876,NA,3,0.31,0.548387097
Alazeja,Native,0.181731608,0.107756745,0.710511647,Russia,Palearctic,153.2708005,69.01177975,90944.38474,-13.70897531,1794.634403,0.009169127,99.99465537,27,0.6,0.65
