"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Decorus_lemassoni",6.14365444041749,11336.7377094466,1,2.60760702980355,1.70088588375099,36.59999847,2.119999886,0.270000011
"Coptostomabarbus_bellcrossi",4.06473088191033,2521.94539564732,1,1.64785635036726,1.64070654617504,3.289999962,2.970000029,2.50999999
"Coptostomabarbus_wittei",5.385002318,4757.407034,1,1.781323654,1.587657855,4.880000114,2.74000001,1.75
"Clypeobarbus_schoutedeni",4.23588395028881,2459.09172640964,1,1.54619115957218,1.5376330136941,3.799999952,2.960000038,2.200000048
"Clypeobarbus_pseudognathodon",4.7440329461816,3108.27737310835,1,1.59724597106528,1.52368133456086,5.5,2.940000057,1.559999943
"Clypeobarbus_pleuropholis",5.423037501,4230.718124,1,1.666574415,1.512482579,4.03000021,2.960000038,2.079999924
"Clypeobarbus_matthesi",5.211777274,3939.854462,1,1.640996652,1.521916634,7.559999943,2.920000076,1.159999967
"Clypeobarbus_hypsolepis",5.324415946,3974.82876,1,1.69040499,1.507430573,4.03000021,2.960000038,2.079999924
"Clypeobarbus_bellcrossi",4.338320449,2254.640909,1,1.409165135,1.428073375,9,2.910000086,0.99000001
"Clypeobarbus_congicus",5.21369055085239,3779.23742766087,1,1.64088480955346,1.51186545582942,7.5,2.920000076,1.169999957
"Cheilobarbus_capensis",4.353159111,2325.411457,1,1.458684034,1.480038502,98.7,2.809999943,0.140000001
"Cheilobarbus_serra",4.47741899,2182.006595,1,1.454112481,1.497197558,61,2.720000029,0.170000002
"Ceratogarra_cambodgiensis",4.878882867,3377.282692,1,1.725316826,1.519721396,24,2.390000105,0.400000006
"Ceratogarra_fasciacauda",4.703616439,3000.953733,1,1.670994114,1.504654312,13.42000008,2.359999895,0.680000007
"Caecocypris_basimi",5.668837612,5270.521653,1,1.780442445,1.559551717,22.5,2.930000067,1.450000048
"Caecobarbus_geertsii",6.245296272,6350.309075,1,1.915945829,1.634838239,12,3.5,0.75999999
"Barbopsis_devecchii",5.768874882,5727.494282,1,1.786605611,1.602197632,10.30000019,3,0.870000005
"Barboides_gracilis",5.787313585,5573.985541,1,1.833119105,1.594531714,2.200000048,2,3.650000095
"Arabibarbus_arabicus",7,37911.96802,1,3.366510854,1.872578075,30.87000084,3,0.319999993
"Arabibarbus_grypus",17,283306.0865,1,6.313904109,2.276057913,150,3,0.09
"Amatolacypris_trevelyani",4.258397471,3975,1,1.5,1.47379079,11.6,2.950000048,0.779999971
"Altigena_zhui",9.255259615,20562.61489,1,2.688339122,1.806182424,44.5,2.079999924,0.230000004
"Altigena_yunnanensis",8.48523308,16620.99337,1,2.480569758,1.743730506,16.79999924,2.359999895,0.560000002
"Altigena_wui",8.582733006,17424.10344,1,2.555412061,1.779822558,39.6,2.119999886,0.270000011
