"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Orestias_ispi",0,0,0,0,0,0,0,0.273078255980886
"Cyprinodon_variegatus",0,0,0,0,0,0,0,0.315479767075633
"Cyprinodon_salvadori",0,0,0,0,0,0,0,0.617872591305341
"Cyprinodon_salinus",0,0,0,0,0,0,0,0.431922392898296
"Cyprinodon_nevadensis",0,0,0,0,0,0,0,0.3763025728614
"Cyprinodon_longidorsalis",0,0,0,0,0,0,0,0.522309941037044
"Cyprinodon_latifasciatus",0,0,0,0,0,0,0,0.644658929097601
"Cyprinodon_julimes",0,0,0,0,0,0,0,0.614394949194009
"Cyprinodon_inmemoriam",0,0,0,0,0,0,0,0.398744271100559
"Cyprinodon_ceciliae",0,0,0,0,0,0,0,0.440125789429126
"Cyprinodon_bobmilleri",0,0,0,0,0,0,0,0.951838408372093
"Cyprinodon_arcuatus",0,0,0,0,0,0,0,0.630703995950193
"Cyprinodon_albivelis",0,0,0,0,0,0,0,0.497582651874822
"Cyprinodon_pisteri",0,0,0,0,0,0,0,0.671635894993698
"Cyprinodon_macularius",0,0,0,0,0,0,0,0.424781750693569
"Cyprinodon_eremus",0,0,0,0,0,0,0,0.744811931862813
"Cyprinodon_radiosus",0,0,0,0,0,0,0,0.53477758261274
"Cyprinodon_diabolis",0,0,0,0,0,0,0,0.80563901824425
"Cyprinodon_fontinalis",0,0,0,0,0,0,0,0.561669494622851
"Cyprinodon_meeki",0,0,0,0,0,0,0,0.744655718051095
"Cyprinodon_nazas",0,0,0,0,0,0,0,0.751194767439733
"Cyprinodon_bifasciatus",0,0,0,0,0,0,0,0.563268624469176
"Cyprinodon_atrorus",0,0,0,0,0,0,0,1.05256008421682
"Cyprinodon_macrolepis",0,0,0,0,0,0,0,0.748566993734632
"Cyprinodon_eximius",0,0,0,0,0,0,0,0.747452682472562
"Cyprinodon_pachycephalus",0,0,0,0,0,0,0,0.748815527016416
"Cyprinodon_alvarezi",0,0,0,0,0,0,0,0.746506333059225
"Cyprinodon_veronicae",0,0,0,0,0,0,0,0.646214206207341
"Cyprinodon_dearborni",0,0,0,0,0,0,0,1.0507939077555
"Cyprinodon_bovinus",0,0,0,0,0,0,0,0.728947342883149
"Cyprinodon_pecosensis",0,0,0,0,0,0,0,0.727544125067627
"Cyprinodon_elegans",0,0,0,0,0,0,0,0.615846720232233
"Cyprinodon_rubrofluviatilis",0,0,0,0,0,0,0,0.528116629456154
"Cyprinodon_artifrons",0,0,0,0,0,0,0,0.560765881414486
"Jordanella_floridae",0,0,0,0,0,0,0,0.457957376396424
"Cualac_tessellatus",0,0,0,0,0,0,0,0.376682449578157
"Floridichthys_polyommus",0,0,0,0,0,0,0,0.0698348093296642
"Floridichthys_carpio",0,0,0,0,0,0,0,0.392816430342179
"Garmanella_pulchra",0,0,0,0,0,0,0,1.24910931455193
"Leptolucania_ommata",0,0,0,0,0,0,0,0
"Fundulus_xenicus",0,0,0,0,0,0,0,0
"Fundulus_heteroclitus",0,0,0,0,0,0,0,0
"Fundulus_diaphanus",0,0,0,0,0,0,0,0
