Basin.Name,Country,Ecoregion,Med_Longit,Med_Latit,RBA,MAT,TS,GDP,CSI,NSR,DIS,RAD,dist_between_centroids,Similarity_Centroid
Tajan,Iran,Palearctic,53.45284807,36.32879769,4515.813014,14.04791539,871.5396872,4.306615293,94.37785766,23,1.626497067,0.961801797,0.123057281,0.890426532
Takaka,New Zealand,Australasia,172.7133914,-41.01015517,882.6650815,9.171360297,367.6434689,0.281632639,96.25926028,13,15.03406962,0.352958452,0.430101199,0.699251214
Takasu,Japan,Palearctic,130.7915775,31.41117969,72.74492581,15.78407896,731.9085957,30.67394972,99.86159291,4,19.316,0.698912096,0.213793211,0.823863563
Takiritawai,New Zealand,Australasia,172.7995655,-43.76921545,112.1283649,10.68158754,372.7592528,9.174983263,99.15089137,10,1.398,0.799791992,0.439156982,0.694851231
Takoandra,Madagascar,Afrotropic,47.76156473,-22.98997392,167.7027736,23.52007012,234.1587125,0.304358669,99.98741743,4,6.562,0.643960628,0.48425898,0.67373687
Taku,Canada,Nearctic,-132.5663251,58.72725518,17513.43939,-0.860322171,851.5320656,0.046943257,99.99999593,24,29.41988701,0.938094433,0.205507907,0.829525874
Tallebudgera.creek,Australia,Australasia,153.3979511,-28.1754405,160.6425676,19.15048785,354.7310667,11.29133558,99.0795012,8,3.73,0.569669475,0.557307564,0.642133913
Tama,Japan,Palearctic,139.2140618,35.7328477,1211.952451,12.35459896,795.6623237,781.7244873,90.1288536,8,12.10002993,0.585548546,0.209952877,0.826478468
Tamar,Australia,Australasia,147.3467154,-41.7019379,11206.08306,10.47775829,351.1495551,2.231180727,95.45895785,26,7.585576368,0.645940556,0.422468549,0.703003241
Tamiang,Indonesia,Indo-Malay,97.74072897,4.154738277,4833.097275,22.55973374,50.18455005,1.345837265,99.96519043,20,49.67790862,0.454264828,0.145394523,0.873061622
Tamiraparani,India,Indo-Malay,77.58764477,8.824317888,5600.47219,27.81806415,156.6248952,10.7829777,90.57283377,50,8.34155152,0.862660117,0.388501711,0.720200769
Tana,Kenya,Afrotropic,38.74705561,-1.23506192,95574.77188,24.51242806,123.5725601,0.438642338,98.04681123,51,20.01070689,0.821071127,0.322034153,0.756410111
Tandiadi.Aar,Sri Lanka,Indo-Malay,81.85086801,6.990674877,45.20933898,27.71406233,121.5620047,2.641290605,99.7185,28,0.848,0.840616967,0.335389419,0.748845233
Tangahoe,New Zealand,Australasia,174.3682298,-39.52827741,285.1652773,12.68656129,323.6766381,2.024806291,99.81897777,9,6.973616739,0.555060559,0.411671778,0.708379962
Tanganyika,Tanzania,Afrotropic,30.97050761,-5.591524209,232510.0285,22.52257562,95.3622104,0.299308714,99.62943078,436,17.40737129,0.739142739,0.414939469,0.706744014
Tangdu.ri,South Korea,Palearctic,126.4190618,34.97699064,73.96192351,13.66406773,896.2021962,15.37729096,99.91933557,42,4.791,0.813641133,0.13779105,0.878895998
Tangjong.josuji,South Korea,Palearctic,126.8176846,34.51472616,28.89321968,13.19465821,864.4649423,9.527025938,99.9281,27,7.12,0.779817434,0.626237184,0.614916452
Tangmi,South Korea,Palearctic,126.7568136,37.54022105,151.6776776,11.68714342,1031.711615,121.1980972,97.06022147,26,3.016036152,0.8870896,0.570778067,0.636627173
Tanjiang,China,Indo-Malay,112.5493682,22.38395499,5086.882674,22.18241188,540.2816731,7.592684865,91.64818937,37,36.78810557,0.825055652,0.565332768,0.638841798
Tapdong.ni,South Korea,Palearctic,127.8800262,34.89499485,17.54148575,13.25036244,861.6099455,12.20229626,99.698,14,8.733,0.83450552,0.688809861,0.592132971
Tapi,Thailand,Indo-Malay,99.09783217,8.746853821,13249.62579,26.57980403,76.82367576,3.167600036,98.61330411,138,40.19273734,0.784862452,0.442205797,0.693382319
Tar,United States,Nearctic,-77.87069079,36.03687226,8114.346164,15.18628558,785.628261,13.86405873,99.80974615,79,16.66290203,0.589946288,0.265528857,0.790183483
Tarago,Australia,Australasia,145.7211724,-38.05898164,1244.845687,13.69127577,378.7928104,25.07776213,93.42579184,12,3.43155229,0.612938594,0.446244531,0.691446003
Taramakau,New Zealand,Australasia,171.4850432,-42.77048473,1044.150603,8.216930859,380.9390645,0.447984822,99.29153396,18,47.78316113,0.317184326,0.480447315,0.675471521
Taravo,France,Palearctic,9.025674345,41.86035818,483.9917856,12.26621966,557.5609648,1.958389133,99.6743616,5,4.958162361,0.848362917,0.197361119,0.835169928
Tarcoles,Costa Rica,Neotropic,-84.27244018,9.969139488,2138.763451,21.20466615,66.46516007,8.428672552,99.11740993,101,29.75998385,0.790822084,0.677819356,0.59601172
Tarim,China,Palearctic,82.65315424,39.2374351,916215.6759,6.167682189,1145.077205,0.179409225,98.74379064,17,5.893874617,0.855225148,0.16202641,0.860565639
Tassili,Algeria,Palearctic,7.454023665,26.22187424,232268.9683,23.2731242,801.9952476,0.023862035,99.96302877,3,0.3790018,0.992477271,0.140285221,0.876973569
Tategami.un.1,Japan,Palearctic,136.8413893,34.31937482,6.660946582,15.96964264,738.8367658,62.14790344,NA,11,19.658,0.597517962,0.640545471,0.609553358
Tategami.un.2,Japan,Palearctic,136.8469433,34.29241505,19.47334302,16.05219289,732.8045301,62.14790249,99.92463786,7,19.658,0.597517962,0.661651495,0.601810911
Tauro,Nicaragua,Neotropic,-83.7985582,10.86114309,450.8183517,25.9597921,74.85649255,2.45207876,99.99687372,17,27.37325565,0.645332108,0.805205844,0.553953447
Taute,France,Palearctic,-1.421768503,49.33676729,1454.403571,11.10388931,423.4421107,7.175699234,99.79145113,21,6.606577593,0.771219055,0.031495545,0.969466136
Tavignano,France,Palearctic,9.230549128,42.21491888,796.3857607,12.1407655,568.7987086,2.181720436,99.76117951,9,6.455347539,0.802596196,0.106218621,0.903980444
Tay,United Kingdom,Palearctic,-3.896913925,56.64277811,4965.654602,6.393625304,428.1037926,10.05508828,94.47908769,19,23.56424001,0.476904431,0.104717291,0.905208969
Te.Awa.Kairangi,New Zealand,Australasia,175.0994627,-41.08550483,604.6209932,10.91101574,334.4543016,2.593205333,95.33264716,14,9.02749501,0.600891682,0.525643451,0.655461143
Tech,France,Palearctic,2.667927576,42.46903964,736.1756776,11.19853215,564.8549945,13.21829009,99.54149221,12,5.965125014,0.633170676,0.135213593,0.880891496
Tees,United Kingdom,Palearctic,-1.707346062,54.56042445,1826.959932,8.144323057,429.3088508,36.83001423,93.4086985,21,12.30284156,0.528048866,0.042301514,0.959415281
Tehuantepec,Mexico,Neotropic,-95.9929379,16.53695049,10133.91001,22.26829791,115.4880503,1.853081822,98.02607563,35,16.37258894,0.95258809,0.35098392,0.74020126
